         13818570 function calls (13376631 primitive calls) in 83.127 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    13147    0.010    0.000    0.177    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:635(new_gc)
     1533    0.055    0.000    0.173    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:1540(_substitute)
    16913    0.043    0.000    0.172    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_base.py:839(<dictcomp>)
   795238    0.123    0.000    0.169    0.000 {built-in method builtins.isinstance}
     4860    0.027    0.000    0.168    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:463(transformed)
    13147    0.064    0.000    0.167    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\backend_bases.py:711(__init__)
        1    0.000    0.000    0.165    0.165 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:5836(load_pages)
        1    0.006    0.006    0.165    0.165 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:7696(_load)
    23178    0.088    0.000    0.163    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:41(_wrapit)
     1352    0.003    0.000    0.156    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\spines.py:292(draw)
    20178    0.033    0.000    0.156    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2517(composite_transform_factory)
     4917    0.131    0.000    0.155    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     4194    0.023    0.000    0.154    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1428(__sub__)
        1    0.000    0.000    0.150    0.150 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\data_viewer.py:78(process_segment_data)
        1    0.000    0.000    0.148    0.148 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\data_viewer.py:265(generate_graphs)
        2    0.000    0.000    0.148    0.074 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\graph_viewer.py:163(process_to_graph)
    47257    0.052    0.000    0.148    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\_core\fromnumeric.py:69(_wrapreduction)
   116849    0.093    0.000    0.147    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1779(__init__)
    16748    0.024    0.000    0.147    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2008(rotate_deg)
        1    0.000    0.000    0.147    0.147 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:2243(__init__)
        1    0.146    0.146    0.146    0.146 {built-in method _tkinter.create}
      341    0.006    0.000    0.142    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\figure.py:156(_get_draw_artists)
    48497    0.140    0.000    0.140    0.000 {built-in method matplotlib._path.affine_transform}
     3661    0.010    0.000    0.137    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:10701(__init__)
     2004    0.014    0.000    0.135    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\ma\core.py:2833(__new__)
     8207    0.030    0.000    0.132    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:433(update_position)
      554    0.006    0.000    0.129    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:779(__init__)
     4192    0.017    0.000    0.128    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1600(_get_tick_label_size)
