         5335225 function calls (5159150 primitive calls) in 139.679 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      672    0.027    0.000    0.096    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\tkinter\__init__.py:1540(_substitute)
     1696    0.006    0.000    0.096    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:924(get_bbox)
     3358    0.002    0.000    0.095    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1478(__array__)
    14165    0.021    0.000    0.095    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:2517(composite_transform_factory)
       56    0.001    0.000    0.092    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\__init__.py:1473(inner)
16600/16544    0.018    0.000    0.091    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1118(get_points)
      422    0.001    0.000    0.090    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1529(get_majorticklocs)
       56    0.002    0.000    0.089    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axes\_axes.py:5676(imshow)
    21/20    0.000    0.000    0.087    0.004 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:428(update_threshold)
     3661    0.006    0.000    0.085    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:10701(__init__)
      491    0.002    0.000    0.085    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\patches.py:623(draw)
     1679    0.008    0.000    0.082    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\ma\core.py:5846(min)
      422    0.001    0.000    0.077    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\axis.py:1650(get_major_ticks)
  160/147    0.000    0.000    0.077    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\util.py:372(_inner)
       54    0.001    0.000    0.076    0.001 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:449(update_displayed_image)
    51/38    0.001    0.000    0.076    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:1145(parse_string)
248195/248147    0.041    0.000    0.076    0.000 {built-in method builtins.getattr}
    13961    0.008    0.000    0.075    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1792(transform)
    11489    0.009    0.000    0.075    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1350(__add__)
  3226/38    0.007    0.000    0.075    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:973(_parseCache)
       17    0.000    0.000    0.075    0.004 c:\Users\carlo\OneDrive\Documentos\Poli\TCC\MedicAnalysis_v2\image_viewer.py:366(update_brightness)
  3104/38    0.006    0.000    0.074    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:806(_parseNoCache)
     3661    0.027    0.000    0.074    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\tifffile\tifffile.py:10771(_gettags)
  1018/38    0.002    0.000    0.074    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\pyparsing\core.py:4123(parseImpl)
       26    0.000    0.000    0.073    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_mathtext.py:779(__init__)
    79701    0.048    0.000    0.072    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\transforms.py:1779(__init__)
   357934    0.051    0.000    0.072    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.071    0.035 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\layout_engine.py:163(execute)
        2    0.000    0.000    0.070    0.035 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_tight_layout.py:194(get_tight_layout_figure)
        4    0.000    0.000    0.070    0.017 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\_tight_layout.py:20(_auto_adjust_subplotpars)
9079/8228    0.005    0.000    0.070    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\contextlib.py:112(__enter__)
     12/4    0.000    0.000    0.069    0.017 C:\Users\carlo\AppData\Local\Programs\Python\Python39\lib\site-packages\matplotlib\artist.py:1403(_get_tightbbox_for_layout_only)
