11202292 function calls (10803815 primitive calls) in 198.083 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      238    0.001    0.000    0.184    0.001 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:1606(_copy_tick_props)
      884    0.006    0.000    0.183    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\patches.py:583(_draw_paths_with_artist_properties)
     1719    0.006    0.000    0.183    0.000 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\ticker.py:737(set_locs)
     15/9    0.000    0.000    0.181    0.020 <frozen importlib._bootstrap>:1349(_find_and_load)
   265/53    0.003    0.000    0.180    0.003 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\matplotlib\axis.py:2665(_update_label_position)
     14/8    0.000    0.000    0.180    0.022 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
  247/238    0.001    0.000    0.179    0.001 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       16    0.001    0.000    0.178    0.011 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\traceback.py:249(extract_stack)
   217835    0.177    0.000    0.177    0.000 {method 'copy' of 'numpy.ndarray' objects}
       16    0.000    0.000    0.177    0.011 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\traceback.py:427(extract)
     40/9    0.000    0.000    0.177    0.020 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     10/6    0.000    0.000    0.177    0.029 {built-in method builtins.__import__}
  6243/42    0.015    0.000    0.176    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:806(_parseNoCache)
        7    0.000    0.000    0.176    0.025 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:5515(__init__)
  288/110    0.001    0.000    0.176    0.002 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:5305(parseImpl)
  2077/42    0.004    0.000    0.175    0.004 C:\Users\carlo\AppData\Local\Programs\Python\Python313\Lib\site-packages\pyparsing\core.py:4123(parseImpl)
     13/7    0.000    0.000    0.172    0.025 <frozen importlib._bootstrap>:911(_load_unlocked)
